channel,clockSkewed,defaultBrowser,dnt,hasFlash,locale,received,score,searchEngine,series,silverlight,version,usingNonIncludedSearchEngine
release,0,1,0,1,en-us,2015-11-30 04:23:05,5,google,42,0,42.0,0
beta,0,1,0,0,en-us,2015-11-30 04:28:52,5,google,43,0,43.0,0
release,0,1,0,0,en-gb,2015-11-30 04:36:00,1,other,42,0,42.0,1
beta,0,1,0,1,en-us,2015-11-30 04:37:52,5,other,43,0,43.0,1
beta,0,0,0,1,en-us,2015-11-30 04:40:11,5,other,41,0,41.0,1
beta,0,1,0,1,en-us,2015-11-30 04:44:35,2,google,43,0,43.0,0
beta,0,1,1,1,en-us,2015-11-30 04:48:55,4,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-30 04:51:24,5,other,43,1,43.0,1
beta,0,1,1,1,en-us,2015-11-30 04:52:42,5,google,43,0,43.0,0
beta,0,1,1,1,en-us,2015-11-30 04:55:25,4,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-30 04:59:32,5,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-30 05:14:44,5,google,43,0,43.0,0
aurora,0,0,0,1,en-us,2015-11-30 05:17:20,5,google,44,0,44.0a2,0
beta,0,0,0,1,en-us,2015-11-30 05:29:11,3,google,43,0,43.0,0
beta,0,0,0,1,en-us,2015-11-30 05:41:50,1,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-30 05:47:57,5,other,43,0,43.0,1
release,0,0,0,1,en-us,2015-11-30 05:59:45,5,yahoo,42,1,42.0,0
beta,0,0,0,1,en-us,2015-11-30 06:04:16,4,yahoo,43,1,43.0,0
beta,0,1,0,0,en-us,2015-11-30 06:09:24,5,other,43,1,43.0,1
aurora,0,1,1,1,en-gb,2015-11-30 06:16:52,4,google,44,1,44.0a2,0
beta,0,1,0,1,en-us,2015-11-30 06:19:15,3,google,43,0,43.0,0
aurora,0,0,0,1,en-us,2015-11-30 06:22:41,5,other,43,0,43.0a2,1
aurora,0,0,1,1,en-us,2015-11-30 06:34:03,5,ddg,44,0,44.0a2,0
release,0,1,1,1,en-us,2015-11-30 06:48:01,5,google,42,0,42.0,0
beta,0,1,1,1,en-us,2015-11-30 06:48:19,5,google,43,0,43.0,0
aurora,0,1,0,1,en-us,2015-11-30 06:49:35,5,google,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-11-30 07:04:56,4,other,43,0,43.0,1
aurora,0,1,0,1,en-us,2015-11-30 07:06:26,4,google,44,0,44.0a2,0
release,0,0,0,1,en-us,2015-11-30 07:21:49,5,google,42,1,42.0,0
aurora,0,1,1,1,en-us,2015-11-30 07:23:50,5,google,44,0,44.0a2,0
aurora,0,0,1,0,en-us,2015-11-30 07:27:39,5,ddg,44,0,44.0a2,0
release,0,1,0,1,en-us,2015-11-30 07:28:28,5,google,42,1,42.0,0
nightly,0,1,0,1,en-us,2015-11-30 07:33:34,4,other,45,1,45.0a1,1
release,0,1,1,1,en-us,2015-11-30 07:47:55,5,google,42,1,42.0,0
release,0,1,1,1,en-us,2015-11-30 07:55:57,4,other,42,0,42.0,1
beta,0,0,0,1,en-us,2015-11-30 08:03:40,3,other,43,0,43.0,1
aurora,0,1,0,1,en-us,2015-11-30 08:07:37,5,ddg,44,1,44.0a2,0
release,0,1,0,1,en-us,2015-11-30 08:12:33,5,yahoo,41,0,41.0.2,0
aurora,0,1,0,1,en-us,2015-11-30 08:29:08,5,google,44,0,44.0a2,0
beta,0,1,0,1,en-us,2015-11-30 08:32:53,5,google,43,0,43.0,0
release,0,1,0,1,en-us,2015-11-30 08:56:03,5,yahoo,42,1,42.0,0
aurora,0,0,1,1,en-us,2015-11-30 08:56:34,4,other,44,1,44.0a2,1
beta,0,1,0,0,en-us,2015-11-30 09:00:09,4,google,43,0,43.0,0
release,0,1,1,1,en-us,2015-11-30 09:10:33,3,google,42,0,42.0,0
beta,0,0,0,1,en-us,2015-11-30 09:11:03,3,google,43,0,43.0,0
beta,0,1,0,1,en-us,2015-11-30 09:22:16,5,bing,43,1,43.0,0
release,0,1,0,1,en-us,2015-11-30 09:39:00,4,google,42,1,42.0,0
beta,0,1,1,1,en-us,2015-11-30 09:43:26,4,google,43,0,43.0,0
aurora,0,0,1,1,en-us,2015-11-30 09:47:37,4,ddg,44,1,44.0a2,0
beta,0,1,0,1,en-us,2015-11-30 10:04:01,5,other,42,0,42.0,1
beta,0,1,0,1,en-us,2015-11-30 10:06:49,5,google,43,1,43.0,0
aurora,0,1,1,0,en-us,2015-11-30 10:16:18,5,yahoo,44,0,44.0a2,0
release,0,0,0,1,en-us,2015-11-30 10:48:54,5,google,42,1,42.0,0
release,1,1,0,1,en-us,2015-11-30 10:53:00,5,google,42,0,42.0,0
release,0,1,0,1,en-us,2015-11-30 10:55:33,1,google,42,0,42.0,0
release,0,1,0,1,en-us,2015-11-30 11:12:36,4,yahoo,42,0,42.0,0
release,0,1,0,1,en-us,2015-11-30 11:21:05,5,google,42,0,42.0,0
aurora,0,1,0,1,en-us,2015-11-30 11:42:18,5,other,44,1,44.0a2,1
aurora,0,1,1,1,en-gb,2015-11-30 11:47:33,5,google,44,1,44.0a2,0
aurora,0,0,0,1,en-us,2015-11-30 12:04:13,4,google,44,1,44.0a2,0
beta,0,1,0,1,en-us,2015-11-30 12:26:15,5,google,43,0,43.0,0
aurora,0,0,1,1,en-us,2015-11-30 12:51:46,5,google,44,0,44.0a2,0
release,0,0,0,1,en-us,2015-11-30 12:55:28,3,google,42,1,42.0,0
nightly,0,1,0,0,en-us,2015-11-30 13:16:04,5,google,45,1,45.0a1,0
beta,0,1,0,1,en-us,2015-11-30 13:41:12,1,google,43,1,43.0,0
release,0,0,0,1,en-gb,2015-11-30 13:47:24,5,other,42,0,42.0,1
aurora,0,1,0,1,en-us,2015-11-30 13:49:49,5,google,44,1,44.0a2,0
aurora,0,1,0,1,en-us,2015-11-30 14:53:36,5,google,44,0,44.0a2,0
release,0,0,0,1,en-us,2015-11-30 14:55:40,5,other,42,0,42.0,1
aurora,0,0,1,1,en-us,2015-11-30 14:56:16,5,google,44,0,44.0a2,0
aurora,0,0,0,1,en-us,2015-11-30 15:06:09,3,yahoo,44,0,44.0a2,0
nightly,0,0,0,1,en-us,2015-11-30 15:06:43,4,google,45,1,45.0a1,0
release,0,0,0,1,en-us,2015-11-30 15:42:51,2,yahoo,42,1,42.0,0
release,0,1,0,1,en-us,2015-11-30 15:54:55,4,yahoo,42,1,42.0,0
beta,0,0,1,1,en-us,2015-11-30 16:15:04,1,google,43,1,43.0,0
beta,0,1,1,0,en-us,2015-11-30 16:23:39,3,google,43,0,43.0,0
release,0,1,1,1,en-us,2015-11-30 16:31:59,5,google,42,1,42.0,0
release,0,1,1,1,en-us,2015-11-30 16:39:40,5,google,42,1,42.0,0
aurora,0,1,1,0,en-us,2015-11-30 17:01:25,5,ddg,44,0,44.0a2,0
